,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
ACSF1,0.7843434343434343,0.21264469269236078,1.0186335193739304,0.4025211137594985,0.5055694984570663,0.41200000000000003,0.34626642196606044,0.4423869165457872,0.5905194258529243
Adiac,0.9490956784051413,0.2862331621193376,2.243979054054176,0.5092250422407405,0.6656616237473048,0.40920716112531963,0.3241906268023107,0.6269095313661553,0.7096100333546403
ArrowHead,0.564111658456486,0.160106746759779,0.20429961247982992,0.22341944144659429,0.2312595755933752,0.5377142857142858,0.5279650763251127,0.18734906770833354,0.30710567377585324
BME,0.5838568232662193,0.1771997227630862,0.33674735089969143,0.33851470441838843,0.3479325517829226,0.628,0.5207442752489316,0.30652064825157144,0.40259479972170087
Beef,0.603448275862069,-0.006046675789488722,0.3362258754478726,0.059321810352202596,0.23970590278704323,0.2866666666666667,0.23602136429900264,0.20890888231865207,0.2827900942482141
BeetleFly,0.5978947368421054,0.21357986884518126,0.18933811752202767,0.26218808063456833,0.29775004761789264,0.7099999999999999,0.6687465623855178,0.27315716320028127,0.4402816426861384
BirdChicken,0.6473684210526316,0.30766939106100893,0.22052452107746162,0.30909981291619665,0.33001234578504846,0.75,0.6957962245781202,0.3181496329528678,0.5445040765553836
CBF,0.8336635768137436,0.6561355236283148,0.7187512682154795,0.6869348300724903,0.6876433518291185,0.828,0.7926039341038784,0.6542444210856233,0.7375042368738135
Car,0.7459887005649717,0.3743932244166699,0.6571627561430489,0.48523532959778326,0.5138557346852244,0.6433333333333333,0.5514665842803667,0.4780617948520923,0.559594068062805
Chinatown,0.7025079706067892,0.3938500084258459,0.2062537279359049,0.3367830581549171,0.3383676109897752,0.7994169096209912,0.741272774093772,0.35122082892413353,0.3270462981239302
ChlorineConcentration,0.5296181460015629,0.0010125315466517821,0.0008562983520684408,0.00032393050119598223,0.0008281668519918021,0.38078125,0.3787799503315682,0.0008436451630510482,0.0008133076324716215
CinCECGTorso,0.6361932086893465,0.10236022282007332,0.22232383339138856,0.1664884817075005,0.1685734097726361,0.372536231884058,0.3527849863609798,0.16037735233041303,0.17786820947325005
Coffee,0.8854497354497356,0.7706942409090882,0.4982347250672726,0.7134867914647064,0.7213385559880725,0.9392857142857143,0.8819154389878896,0.7214582443854496,0.7212287344711195
Computers,0.5680674698795181,0.13667448431162882,0.07604521210011257,0.10936116905237783,0.11169873342654443,0.6772,0.5966519047140182,0.10971005038018193,0.21376237403549525
CricketX,0.848298727836003,0.14744373169606817,0.855632444542618,0.3108618201328252,0.360322131002836,0.3433333333333334,0.23220887010107685,0.34546322209617075,0.3766069358103577
CricketY,0.8769151670951156,0.2556617947778893,1.1310036581470433,0.42717532768877087,0.46728517748647624,0.4235897435897436,0.3244940509999565,0.4555755804308764,0.47987544208975563
CricketZ,0.8556996901984049,0.16925247234915142,0.8948878363108206,0.3255250496369227,0.3741168796978376,0.3676923076923077,0.24973014060306373,0.36141607178018115,0.3877884440586691
Crop,0.932039986790597,0.26256502610745336,1.551674734788516,0.4987249781840738,0.5013033244840444,0.4152440476190476,0.30053789152401283,0.48824683835472743,0.5150919235757193
DiatomSizeReduction,0.9076159862852243,0.7784421238508339,1.0184808275759942,0.8069847870059649,0.809374129823207,0.8470588235294116,0.845568502474675,0.7706147821202387,0.8522704792995226
DistalPhalanxOutlineAgeGroup,0.6201855906579085,0.22918259310961436,0.2795822149304556,0.28863746628382997,0.2997073512969522,0.6661870503597123,0.562489144815605,0.29140346404731726,0.3125339281651969
DistalPhalanxOutlineCorrect,0.5086508563899867,0.010665834928146472,0.002622053776878763,0.0015462913103074388,0.004129720537758789,0.5721014492753623,0.5742807307209646,0.0038605414808566144,0.10443926998109436
DistalPhalanxTW,0.7949118965697007,0.43061990105814607,0.7647246186687775,0.48179532821067683,0.504944901881369,0.5820143884892086,0.5666953240833946,0.4660502844647181,0.5531966151639791
ECG200,0.5936363636363635,0.1767640884774109,0.0779025101009439,0.11330119213791792,0.11944990440025016,0.719,0.6369620789887979,0.11922304998797795,0.21975111795661012
ECG5000,0.7825129238596231,0.553415839903773,0.5997856939254043,0.5457253528500392,0.5464471740861111,0.6927111111111112,0.7326759292916923,0.659310708355185,0.47047143396647595
ECGFiveDays,0.6469567566107555,0.29408096323817834,0.196937781766918,0.2972395487376094,0.29788445852525636,0.7447154471544716,0.6820021559732744,0.28412807297726206,0.313394520971973
EOGHorizontalSignal,0.8359223152385178,0.10338109164579397,0.7222980592282038,0.2463691585271662,0.3051847342512342,0.2892265193370166,0.1945405180388026,0.290693758441259,0.3212364259408097
