,PCA(1.0),PCA(0.99),PCA(0.95),PCA(0.9),PCA(0.8),PCA(0.7),PCA(0.6),PCA(0.5),PCA(0.4),PCA(0.3),PCA(0.2),PCA(0.1),PCA(0.05)
Beef,0.23376835978077573,0.23695468127248742,0.23066577019475876,0.230864138259775,0.20436203268277842,0.20952415223119242,0.2384170107713462,0.2361287797572879,0.26618200799704356,0.2524483713001603,0.2524483713001603,0.2524483713001603,0.2524483713001603
BirdChicken,0.16611615155379195,0.17515771207323644,0.15774937894614244,0.2512646201285851,0.19291003869573525,0.16658489171528268,0.19440808090898845,0.30261798131536377,0.3033566812579016,0.29890763160665484,0.5216682718657559,0.5216682718657559,0.5216682718657559
Car,0.43547158603884945,0.3463288383589218,0.38552917731784414,0.49993386759584163,0.44094723676485464,0.47418292667994066,0.42252659012331717,0.4666396122087235,0.4745070572373975,0.5349666111041316,0.5016504845453659,0.47644475707795636,0.47644475707795636
CricketX,0.30294996535436913,0.30067632313464504,0.30511957055759376,0.30335586815551113,0.3093455230574242,0.32839729061069733,0.33341854009996175,0.3383947976706897,0.35779888166504253,0.36011602795735975,0.36355419774330355,0.3337294880794455,0.22139519409875907
CricketY,0.3992055781744662,0.4063110409662164,0.3944538642599318,0.39841248878924984,0.40557889294317206,0.4164269806858078,0.44142758155532363,0.4463847340444153,0.43704477660315055,0.4561080637861797,0.4458410720012024,0.38187560197417586,0.3426784765314298
CricketZ,0.2802613957179272,0.27928447839168985,0.2877194640894779,0.27007506962337374,0.30549407142640234,0.29479454809386235,0.3191000506611798,0.3294458406741591,0.3473097967640749,0.35532879671105627,0.36632969411861926,0.32497220337349664,0.21117060242776992
DistalPhalanxTW,0.49404616997510387,0.48337885437613226,0.4959984447889928,0.4887627064618455,0.4996903842725569,0.5011993148444919,0.5055835781523108,0.512969321268539,0.4979022708571403,0.516217285474549,0.4354551474988046,0.4354551474988046,0.4354551474988046
ECG200,0.0773999252808096,0.07726972813089114,0.059208330142228795,0.06106401648872552,0.06630768681988966,0.07975143246941084,0.08385402680839174,0.10335094720726039,0.11407035176707096,0.12456404426354697,0.11807645852930246,0.10607898313520696,0.10607898313520696
ECG5000,0.5386767570913851,0.5276061997918887,0.5221962614995654,0.5089720849402458,0.5433364995415217,0.5398775362158303,0.5237810057331971,0.5303505241871123,0.5386745205402589,0.53207778631234,0.5108729260364815,0.513247681947879,0.513247681947879
FiftyWords,0.5770863316542825,0.5775723286308917,0.5775596245523349,0.6004590486762222,0.6239719034189497,0.6487520230337223,0.6585427860202652,0.6698155829160964,0.6765998311182794,0.6704101191831218,0.6254991861936049,0.5285326125644656,0.5285326125644656
Fish,0.6406098498700895,0.6294409184111609,0.626833917700518,0.6540292466465912,0.686902712103469,0.721574117834612,0.7418024148325215,0.7443953255417147,0.7284887839568105,0.7652484705396353,0.7489219221140851,0.5058772875068355,0.5058772875068355
FordA,0.021150832004800772,0.02128351710592582,0.021458989711072074,0.021135011073305433,0.02096630566250924,0.020911791103175686,0.02082511471312034,0.020376452840391225,0.07199610449435666,0.020105156213192386,0.020331760910085504,0.023351393730794635,0.023351393730794635
FordB,0.10352259468526867,0.10328704939773828,0.10943796209143528,0.10320152604100427,0.13018958725098728,0.09699456014856357,0.09456321704128166,0.10914170592422019,0.09184440429759862,0.11361029857719478,0.108519271866483,0.07700509735689647,0.08304972775824912
Haptics,0.07613314066814406,0.07732521378651429,0.07707160396268137,0.0682561028753296,0.0799177123104796,0.08389563719921217,0.07361737089108669,0.08740723472666734,0.08280844850251647,0.09041987384374513,0.09629977846383522,0.10936077560958928,0.10936077560958928
Herring,0.014136334598050884,0.013098086001545453,0.006284057619947887,0.006042903825622475,0.00923315576392696,0.004573562065537956,0.011255847459680886,0.00998951918599405,0.009367530872228025,0.009757173878933597,0.010681366118790165,0.014337335870706732,0.014337335870706732
InsectWingbeatSound,0.4654829689010122,0.46394316419597825,0.47146575307592864,0.484287073668993,0.5003139692956771,0.4857703497038236,0.5011209740778935,0.5039347038238089,0.49300570226791807,0.4813875478055971,0.441206404865483,0.40384762942137586,0.40384762942137586
ItalyPowerDemand,0.09904213593373201,0.09904213593373201,0.08089025335078917,0.07451686298535466,0.03898857535060039,0.07502999119949832,0.07089961120970387,0.05112390523681354,0.10823187833059551,0.044348624804835104,0.08128386091198256,0.09277714088506299,0.09277714088506299
LargeKitchenAppliances,0.017217365649796413,0.016811871014886404,0.01874388729807114,0.014579785024675145,0.016376161004760963,0.01680571096392519,0.01691788423521272,0.017868460907876936,0.02053228384770242,0.019236367293846958,0.020178826416115903,0.02262055596065273,0.02262055596065273
