,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
Lightning7,0.8045405298926426,0.32343121769452315,0.9486587241316083,0.4841400256281637,0.5229039426294595,0.5734265734265734,0.4427125736504509,0.5028990214359592,0.5449795450116357
Mallat,0.9674841253299986,0.8589520709187971,1.9189656893365643,0.9355804107353267,0.9359032347091716,0.8744583333333333,0.8793900380356401,0.9228274278806443,0.9494851473437539
Meat,0.7792717086834733,0.5246394621710817,0.6362116463087248,0.5955083578276018,0.6020936733978648,0.7549999999999999,0.697962333311742,0.5791047969070406,0.6289213369338025
MedicalImages,0.664142411242831,0.05262386260002906,0.5443923474717057,0.2688701845534526,0.2833974512256082,0.2826468010517091,0.24663167281391435,0.3227941360604548,0.252604046787329
MiddlePhalanxOutlineAgeGroup,0.7341386986636724,0.42897210633597715,0.4178377273891841,0.3994168742393086,0.40151429087831036,0.6496389891696752,0.6393080220105499,0.4104407581016781,0.39296802203264036
MiddlePhalanxOutlineCorrect,0.4994615316712694,-0.005273644453923339,0.0028870084953892374,0.0035273368008151887,0.0043766057459274045,0.5028058361391695,0.5300025178282077,0.004353219098064087,0.0044002540422523285
MiddlePhalanxTW,0.8453796157978877,0.5600499206730084,0.6909974606065626,0.41668153927971147,0.4250722268641459,0.5508137432188065,0.6602650859566948,0.4298127007744165,0.42049660771366676
MixedShapesRegularTrain,0.8785984309048605,0.6527282712903326,1.140782786650744,0.7304858136625201,0.73096059857762,0.7692649572649574,0.7323285298935838,0.7183166367793916,0.7445190987450201
MixedShapesSmallTrain,0.8747188966123236,0.645989223320785,1.136651455315778,0.731740070221652,0.7322906182804481,0.7666138613861385,0.7286227908279806,0.7190641926892319,0.7465623288350842
MoteStrain,0.7531306750985952,0.5061511041827935,0.35615116481075176,0.5230435299320145,0.5233193597516846,0.8558962264150942,0.7591037423158025,0.5160292244133481,0.5308185776948429
NonInvasiveFetalECGThorax1,0.973389530789347,0.48819148187717715,2.8025616645046627,0.7488299245917435,0.7652290490132851,0.5905444887118194,0.5051111592729973,0.7500839896530175,0.7810143902194209
NonInvasiveFetalECGThorax2,0.9745594878721036,0.5245722890656833,2.8863226719503636,0.7760999235881254,0.7907926734300832,0.6177954847277556,0.5429183587473878,0.772501976539073,0.8100078207668062
OSULeaf,0.8971650198540957,0.6472597860535784,1.2787845597058474,0.7243039148965036,0.7288628949383325,0.7373303167420814,0.7098802079952953,0.7278964912457025,0.7298954874640158
OliveOil,0.826271186440678,0.5819311610569602,0.7250331451583991,0.5457522956401287,0.5763903927444953,0.7666666666666666,0.7051445113903408,0.5623116886136408,0.5911998383728736
PhalangesOutlinesCorrect,0.501111478318838,0.0014918577994174232,0.00029985478938980846,0.0001663548340575171,0.00044677429732877156,0.5254702784048156,0.5220153216595242,0.0004584300705184609,0.00043569654880925196
Phoneme,0.9260138112669918,0.09129407532157682,1.035748942564436,0.23133088080986858,0.3067325646047194,0.18924170616113745,0.130337077203047,0.31622625633958573,0.29780091257347824
PigAirwayPressure,0.9649868084755544,0.05642060222406727,2.267802384341427,0.1028493768042646,0.5850416377832857,0.2641025641025641,0.07469478760415707,0.5739464699878373,0.5965787997586257
PigArtPressure,0.9785782010058538,0.429782893377962,3.148265099415423,0.5926675329600372,0.811900339907732,0.5724358974358974,0.44614640085623114,0.7967782611358911,0.8276216362116214
PigCVP,0.9841083353945091,0.5702721456025331,3.390223660735156,0.7218253472354246,0.8723387207467237,0.6721153846153846,0.5845144695618745,0.8580143119980235,0.8871562517741676
Plane,0.9407746639325586,0.7698922333229108,1.65011903187713,0.8574411252192441,0.8644343629340943,0.8333333333333333,0.8070080564716706,0.8479934351944352,0.8817569654696555
PowerCons,0.5907226864747757,0.18181201209338807,0.1134073075990106,0.17153616663321866,0.17332708841497596,0.7102777777777777,0.6210291148368096,0.16361216027366185,0.1883527478339186
ProximalPhalanxOutlineAgeGroup,0.7595232882710305,0.4911046260061779,0.5255698746915017,0.5120005887571526,0.5135918459654699,0.6970247933884297,0.6860989784557215,0.5241718404933945,0.5036413182836126
ProximalPhalanxOutlineCorrect,0.5259360143255273,0.05124044502996482,0.03996547190153099,0.059862483187767865,0.06066493741402952,0.6150392817059485,0.5562885741064666,0.06367866144173692,0.05792358428597577
ProximalPhalanxTW,0.7811493623775381,0.40111542102568515,0.8390497502221681,0.5232918848793912,0.5298365707917657,0.4884297520661157,0.5491848290227347,0.5889613200004218,0.4815005072970003
RefrigerationDevices,0.5560502002670227,0.03256850078021924,0.039111816834456394,0.0343999833212318,0.03682824098438586,0.42906666666666665,0.3748330469558966,0.035601109907366105,0.03822054184227225
Rock,0.8033540372670807,0.5060162827597303,0.8669125850517542,0.6365665621361762,0.6562771339387778,0.6471428571428572,0.641623784146287,0.6496079182434971,0.6631254482642795
ScreenType,0.5591846906987094,0.02952254296574548,0.035845813741236895,0.030667781572445863,0.03309563351464796,0.42279999999999995,0.3664468641929707,0.03262826577763313,0.03358835284522417
SemgHandGenderCh2,0.5191580768755408,0.026954257796000015,0.013640957983828788,0.025560544776218858,0.02648345569000115,0.596,0.5902822725029591,0.02026853121944642,0.04536997515318161
SemgHandMovementCh2,0.6936764306019033,0.056279341731170926,0.2418100632964638,0.13671848685733945,0.14402493128299274,0.2992222222222223,0.2442427496740383,0.13495676593278616,0.15455749395267343
SemgHandSubjectCh2,0.7341829192930417,0.2857961915777373,0.6344067424238969,0.42273653006937584,0.4262340757353188,0.5133333333333334,0.4615488901495266,0.3941790717881284,0.463965936582425
ShapeletSim,1.0,1.0,0.6931471805599445,1.0,1.0,1.0,1.0,1.0,1.0
ShapesAll,0.985197108701696,0.5652615429283252,3.3276070719949105,0.7422189791352345,0.8212647227799789,0.6676666666666667,0.5748580191581277,0.8127325439823112,0.8299868830086379
SmallKitchenAppliances,0.7301158878504672,0.401025212991229,0.4107172331593475,0.3776018181394484,0.3791398510286486,0.7573333333333333,0.6062465720176025,0.37385093667327884,0.38458060731844085
SmoothSubspace,0.7841025641025641,0.5137204764118899,0.5861719325613415,0.5317106493366258,0.5345843488059355,0.7336666666666666,0.6754754735793855,0.5335566865649944,0.5356187579150752
SonyAIBORobotSurface1,0.9558568386057866,0.9116968941484449,0.577836544552186,0.8428302184297054,0.8430153042703628,0.9774557165861515,0.9564571334877334,0.8430153042703628,0.8430153042703628
