,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
ACSF1,0.7992121212121213,0.22116968515641888,1.0470598232987074,0.4062357771503013,0.5120332077864334,0.41600000000000004,0.34555127669360736,0.45473230348122257,0.5860824658507645
Adiac,0.94396878483835,0.24837730293251234,2.1148770407390893,0.4644352230134639,0.6317619768431981,0.3920716112531969,0.2896329087247504,0.5908417781847862,0.6789803509461134
ArrowHead,0.5831395730706075,0.1607948480890898,0.20971843905119053,0.21399003260332225,0.22227976774662322,0.5462857142857143,0.5030863780631631,0.19231829938672348,0.27056042574828215
BME,0.5679284116331097,0.153053097648197,0.27551250067410055,0.2798407182296138,0.28993048336692245,0.5893333333333335,0.5108095561543559,0.2507822855396194,0.34485455064207876
Beef,0.6202298850574712,-0.001631974681985126,0.3627170913219466,0.06564004989321667,0.2528806892592675,0.31,0.23153066776832384,0.2253688002001744,0.2891888528673918
BeetleFly,0.6605263157894736,0.3293026320129634,0.24258187448176843,0.3327664688820546,0.366633589362422,0.775,0.6895391479113905,0.34997166732439655,0.3958461144352217
BirdChicken,0.6978947368421053,0.4009077674882978,0.282073584382865,0.3911140712246763,0.42000362871711233,0.8100000000000002,0.7133980699353973,0.4069461613549342,0.44135976604177996
CBF,0.839466814979607,0.6548940573859838,0.6961958795334837,0.6579783921753202,0.6586650750826043,0.836,0.7822891058733606,0.6337133446713141,0.6975064413568689
Car,0.7348022598870055,0.32978684509855183,0.6034913996872112,0.42105595775642346,0.4563928336064616,0.6233333333333334,0.5111272528207945,0.4390178521460043,0.4771159170814673
Chinatown,0.7033263430685558,0.3911142797171137,0.20169939704672046,0.3312693325691193,0.33289581655743616,0.8020408163265305,0.7454547472406445,0.34346544973122406,0.3237492353085969
ChlorineConcentration,0.5274639120430666,-0.0004565874346986349,0.0005468088786250491,2.4303949506919715e-05,0.0005315731912346746,0.37830729166666666,0.38134636512354786,0.0005387288956600951,0.0005247356647747114
CinCECGTorso,0.6433741106241658,0.10130719946038495,0.21614833614177345,0.15942644486122917,0.1614854243759056,0.3973188405797102,0.34490042930853737,0.15592254475036627,0.1675797849808982
Coffee,0.8108465608465609,0.6215219984680307,0.40149988090038813,0.572455055616912,0.5842364772535487,0.8964285714285716,0.8064526510050312,0.5813834014805974,0.5872394990847492
Computers,0.5697156626506025,0.13995714259370054,0.0774630465235526,0.11125903681345121,0.11358719815179379,0.6792,0.5974513945569144,0.11175555307168053,0.21548500563202047
CricketX,0.8496750379012589,0.1274156961388459,0.7509640778031597,0.2602443138973941,0.3128960555151979,0.3269230769230769,0.21055212893174308,0.30320317053315887,0.3234278400761536
CricketY,0.8614369520796258,0.19838644078812773,0.9262744172949766,0.34285261708398074,0.3879324126081296,0.3676923076923077,0.27624552290762777,0.3731093195479016,0.40409450785241485
CricketZ,0.8514033353107904,0.13197301466768402,0.7432171915344952,0.2556601248984726,0.30902312383677893,0.3302564102564102,0.21419024169469827,0.3001612346763416,0.31858241256061287
Crop,0.9298124980511879,0.2299850505062672,1.4061547420273885,0.4506447365425973,0.4534568769589208,0.3794821428571429,0.26852186333568795,0.4424578113182675,0.4650673716525085
DiatomSizeReduction,0.8718632808314583,0.7010072160554955,0.9190254331980043,0.7325147392228575,0.7356703377477132,0.8035947712418301,0.7952364011481456,0.6953636875545353,0.7829776513125137
DistalPhalanxOutlineAgeGroup,0.6208320300281513,0.231969342991452,0.2787522874225493,0.29310943559846075,0.3036210181842714,0.6733812949640287,0.5657287331793114,0.2905384456813521,0.32604769334911954
DistalPhalanxOutlineCorrect,0.5104795783926217,0.014605456415814743,0.004227732644142728,0.00375631287700236,0.007022883532438973,0.5778985507246377,0.5736171540923005,0.00622463863502952,0.0197948857083272
DistalPhalanxTW,0.7802210405588573,0.3963318345921982,0.7520125081074159,0.4649379475434882,0.49256905365416587,0.5575539568345322,0.5424611590903325,0.45830307377130153,0.5355034730653511
ECG200,0.5821212121212123,0.1545941550693055,0.06973526669691169,0.09981471224332711,0.10782166834605181,0.6969999999999998,0.6235622536284428,0.10672379075536538,0.11473807274533428
ECG5000,0.7625030352423996,0.5112497148985145,0.5789783939620943,0.5159520775290279,0.5167239535706993,0.6644,0.7029662607999138,0.6364384127724315,0.43827059603419344
ECGFiveDays,0.634792426329579,0.26973099503438186,0.17535126134980258,0.26489171304748704,0.26555513951777415,0.745993031358885,0.6655184264744711,0.252984549406664,0.2807094351008429
EOGHorizontalSignal,0.8341730307157833,0.09370555918323978,0.6783890470374003,0.2248413950882509,0.2860006086468225,0.28066298342541435,0.18559114983051073,0.27302227833673476,0.30030581167164067
EOGVerticalSignal,0.8410737515495631,0.06767407982313736,0.49794162774763207,0.14628280051647388,0.2085464118133816,0.25220994475138125,0.1549792168383659,0.20039998918034668,0.2174100086272583
Earthquakes,0.5074131998748828,-0.08152419107126069,0.035615351451308785,0.060946189211246796,0.06754890490800682,0.5719424460431655,0.6232452171457373,0.06311394045473499,0.0728256354312906
ElectricDevices,0.7924365565993702,0.3098313268598022,0.7052345121416923,0.39457935922445236,0.3953650254982192,0.4790947996368823,0.4375020243161611,0.3851005991308837,0.40699819488989136
