,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
ACSF1,0.7740202020202019,0.2544841592701072,1.0708066443029565,0.47193392486272234,0.5536322022731461,0.43,0.403628071630044,0.4650454168061121,0.6856309698820372
Adiac,0.9497081775854154,0.3245078695022713,2.318096726783848,0.5530719662199711,0.6925204645825735,0.4485933503836317,0.3669286779708178,0.6476160862660155,0.7441812973420432
ArrowHead,0.5461871921182266,0.1397429291026765,0.199417031540091,0.22294523814441325,0.22968303510166937,0.5217142857142857,0.5245171645923011,0.18287158987092025,0.31617906262721057
BME,0.5836062639821029,0.18310330960822083,0.33874612543864335,0.34564175276162645,0.35450358045438296,0.6033333333333333,0.5287396821056607,0.30834001124210847,0.4180523843281597
Beef,0.6087356321839081,0.00733826931553302,0.37549980653174264,0.08393965185181658,0.2675886060879176,0.26666666666666666,0.24750344087466888,0.23331114771854722,0.3137283178344291
BeetleFly,0.5326315789473683,0.09500814782614275,0.09535162992609976,0.12971848760957777,0.15477844635564225,0.62,0.6528879627664577,0.13756332363506385,0.5825405333726084
BirdChicken,0.5863157894736842,0.19487751632645947,0.1439751372966904,0.19551435827179509,0.22057942642515388,0.68,0.6741664160776979,0.20771221658924302,0.5419901985697707
CBF,0.7663005808923495,0.5571282696539711,0.6177850223784179,0.6112457752316612,0.6118266027812368,0.738111111111111,0.7541197939880887,0.5623397442133822,0.7892353514684851
Car,0.743728813559322,0.35799695622080374,0.6387675182348309,0.4586412249622459,0.48971582492257737,0.6549999999999999,0.5346441523008244,0.4646799341654839,0.5209491280076455
Chinatown,0.7066748503912843,0.37344300618627513,0.2095746631039015,0.34687052618795483,0.34865250860377295,0.7973760932944606,0.7651498390674123,0.3568759102367465,0.34573641997746796
ChlorineConcentration,0.53152829784232,0.0007584478565329573,0.0008045098933878461,0.00027334580809526066,0.0007742600994383776,0.3728125,0.37367801787659155,0.0007926219623614588,0.0007567780196003039
CinCECGTorso,0.6380300785067945,0.12903390644251028,0.28514334909411515,0.2170309491311424,0.21901352959329165,0.4007246376811594,0.3803921455985993,0.20569335578986192,0.23456302026660752
Coffee,0.8335978835978837,0.6704765433154981,0.4658336983003196,0.6683886896185698,0.6802179442965447,0.8821428571428571,0.8553412839916958,0.674540623610592,0.6908439490853736
Computers,0.5539180722891566,0.10914637946068158,0.060718187097009435,0.08735840994254113,0.08916931989335376,0.6396,0.622193212122249,0.08759782741662386,0.39079883155534545
CricketX,0.8404917276382571,0.14473868826974706,0.868970445433604,0.3206392684258613,0.36957938180061073,0.34487179487179487,0.23460462931237558,0.35084846524994656,0.3904805056380367
CricketY,0.8714771603717619,0.248810375406131,1.131635248040648,0.43112569742925705,0.4714027829365742,0.4102564102564103,0.3214238990907586,0.4558299889204515,0.4881748314757945
CricketZ,0.8505055698371894,0.16607672976179272,0.9075394009679322,0.33343722036982987,0.381887172860466,0.3676923076923077,0.2500307325927491,0.3665256269833185,0.3986336138631345
Crop,0.9341787407980634,0.2672862392689063,1.5653372990116874,0.5006521882786392,0.5032061431373018,0.4147559523809524,0.3034340040169669,0.4925458732208786,0.5143705381321374
DiatomSizeReduction,0.8870695381977928,0.7359474563215742,0.9640354730571932,0.7758504924676761,0.7787092634297756,0.8310457516339869,0.8197804649363839,0.7294197062052388,0.835467780263366
DistalPhalanxOutlineAgeGroup,0.6330518194140339,0.24216701347629424,0.27992194568180356,0.28160037540471694,0.2923234608989974,0.6669064748201439,0.5529526335923334,0.2917575592382821,0.2986384178199636
