,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
ACSF1,0.7812525252525252,0.2037086229009919,1.006503609023488,0.392016151498446,0.49933194509313295,0.395,0.3381637542468513,0.43711896341460876,0.5830838671735761
Adiac,0.9499180274116334,0.28224383896390565,2.219908847152294,0.49408639833123935,0.6565216143340106,0.41739130434782606,0.318228105386294,0.6201849400195997,0.6974269858743327
ArrowHead,0.5731691297208539,0.1491369938748128,0.21378100404970363,0.2216128082294694,0.229433375329095,0.5382857142857143,0.5010644341453279,0.1960437972265741,0.2871783954764203
BME,0.6379865771812081,0.26280855237947587,0.4011120356262213,0.384099072570779,0.39258789165112257,0.6426666666666666,0.555595620069293,0.3651079090991282,0.4286981269149116
Beef,0.6218390804597701,0.004850546610264996,0.359656979834856,0.07707862626046699,0.2524483713001603,0.31,0.2369348435668374,0.22346744602959778,0.29195194983667494
BeetleFly,0.6015789473684211,0.20828025079250745,0.18842722217648664,0.2615896543480595,0.29354188787366053,0.735,0.6172329499499215,0.27184301900250035,0.31970105203299626
BirdChicken,0.6378947368421053,0.2894818552468064,0.20024157281511937,0.27580654637073165,0.2989076316066548,0.74,0.6890787847070301,0.28888752408017915,0.5131437570125996
CBF,0.8322410085279941,0.6407921528540445,0.7108408548835083,0.6745342362831944,0.6752392159076988,0.8298888888888889,0.7745516283193649,0.647043955472849,0.7146792625954994
Car,0.7696610169491525,0.4001738129162649,0.7153185152993069,0.5054674494076546,0.5349666111041315,0.6766666666666665,0.5560784504351693,0.5203679759972315,0.5527007376978336
Chinatown,0.6677476002932501,0.3211592697046594,0.1665792805516641,0.2714659318098841,0.27321706443571153,0.7682215743440233,0.712374117129176,0.28366087528426415,0.2639350792820202
ChlorineConcentration,0.5299526243813493,0.0007118398577952989,0.0008900364313544184,0.00035665361529707497,0.0008602231040779195,0.3772916666666667,0.3774316374626957,0.0008768847078095939,0.000844255161567589
CinCECGTorso,0.6354595327426931,0.09580406564805816,0.2045286009190214,0.15245483384254568,0.1545672043445448,0.3822463768115942,0.346112780344893,0.14754043680728862,0.1626146616680641
Coffee,0.8462962962962963,0.6926892968490946,0.45754964207776244,0.6531409785568771,0.6628054709710127,0.9035714285714287,0.8445688147142922,0.6625450713979085,0.6630772977693593
Computers,0.5709879518072289,0.14252131266372073,0.07952203936840692,0.11456048639428659,0.1168846916491905,0.6808,0.5999400497970314,0.11472605183817772,0.21912926288497733
CricketX,0.8517843253575903,0.15116691642179395,0.8610017901315477,0.31034823204587153,0.36011602795735975,0.34692307692307695,0.23361683977611536,0.3476311055600697,0.3737245529304265
CricketY,0.8750471293916023,0.2468871459976983,1.1025191453033236,0.4150118474948141,0.4561080637861797,0.4012820512820513,0.3165974842333024,0.44410183463121333,0.4688270412276857
CricketZ,0.8516630413288511,0.15594211069532865,0.8487027893644878,0.3056499210083997,0.3553287967110562,0.35102564102564104,0.2387870064821418,0.34276343447186797,0.3690256912746662
Crop,0.9330666954382204,0.2595663029776945,1.5230993608875096,0.4878086895674416,0.4904331733641958,0.40563690476190484,0.2963923265461072,0.47925536891260095,0.502159526879783
DiatomSizeReduction,0.9065573770491803,0.7759240804845655,1.0081415896738264,0.7986338667315159,0.8011285984859983,0.8493464052287582,0.8437945980523673,0.7627917879631163,0.8436397327281042
