,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
CricketY,0.872667589479929,0.2575813114043311,1.1297214745461779,0.4314892244291907,0.4716022941377004,0.4128205128205128,0.32968680881601575,0.4550591085928099,0.4894582524063658
CricketZ,0.8549693494166503,0.18081064934863908,0.9321764948440456,0.34300007515979164,0.3904840301403941,0.37743589743589745,0.26214218761689756,0.376475747353143,0.40587993990470217
Crop,0.9329974807173895,0.268119516962195,1.5683775387167356,0.5036921714742307,0.5062428500711137,0.41775,0.3054260798774907,0.49350250890653513,0.5196841271574231
DiatomSizeReduction,0.8946833815493411,0.7521521985909312,0.9899616567780086,0.7910942531456239,0.7937244596939241,0.8349673202614378,0.8298827575693559,0.7490362761771805,0.8442775151372505
DistalPhalanxOutlineAgeGroup,0.6338755082890208,0.24515045350939652,0.2905450470445782,0.2897163372201977,0.30101105717817556,0.671223021582734,0.5564548996107934,0.3028298248214428,0.3017272435408342
DistalPhalanxOutlineCorrect,0.5083425559947298,0.009999482224903346,0.002412576941258521,0.0012166081202431352,0.0038034090850003984,0.5710144927536231,0.5744265151975704,0.0035521214094143038,0.10409297192791096
DistalPhalanxTW,0.7800125117297467,0.4117600146245162,0.7594406969895419,0.49175940922420586,0.5135628687800421,0.5827338129496404,0.5613441464244714,0.46283007533115583,0.58399268764575
ECG200,0.5931919191919192,0.16809702104401153,0.06994149519612856,0.10302976837925833,0.108543850796182,0.7170000000000001,0.6573299345893865,0.10703940562630113,0.31011247968431693
ECG5000,0.7630849324541256,0.5129519470861399,0.5747946365974028,0.5129973272416709,0.5137895547537151,0.6689111111111112,0.7058139183878394,0.6318394434078104,0.4342979761948763
ECGFiveDays,0.6947697377305999,0.3896246821543623,0.24909378799249535,0.37006486966641505,0.3706197805135724,0.7993031358885017,0.7129753205157339,0.35937511501311753,0.38287334561587216
EOGHorizontalSignal,0.834323013115808,0.10930959693672915,0.7406190606218923,0.2542636447972871,0.3132764480465664,0.29226519337016577,0.20151716571425676,0.2980671698543115,0.3302273289716896
EOGVerticalSignal,0.8420700632068685,0.06900497813501008,0.5403268892854708,0.16272936998994592,0.2254222214145753,0.262707182320442,0.15578712937269107,0.21745822548810523,0.23401177182405916
Earthquakes,0.516505056824106,-0.08302519436429143,0.05004080661646426,0.09002728445032461,0.09578275022110981,0.5827338129496403,0.6406668282454887,0.08867727989196564,0.20421756191719637
ElectricDevices,0.7995163477781417,0.33361192470968815,0.7478172373612237,0.4197655738262888,0.4205315132289889,0.5037478926209311,0.4570266687661281,0.4083533366420801,0.4343761485743826
EthanolLevel,0.5933282565130261,-0.001574124728574059,0.006811681937337427,-0.001819940156328425,0.0051804687460248995,0.28180000000000005,0.2775003259058749,0.004913703300370842,0.005489628912851425
FaceAll,0.9016429314639453,0.48633977789683813,1.7045836595816328,0.7046371208766029,0.711027935846235,0.6650887573964497,0.5441639867143192,0.6922178447077536,0.731153129125668
FaceFour,0.6938087774294672,0.3410505415280723,0.5471427978598263,0.44540261654743124,0.4661114902673208,0.5454545454545454,0.56823010230372,0.4024626008787936,0.5618655427923802
FacesUCR,0.9145243961956456,0.48244133378860665,1.7263825747332124,0.682443580330051,0.6878385719779827,0.6355121951219512,0.5307868712898982,0.6780380012356376,0.6980513378367175
FiftyWords,0.9559926417195139,0.4116273714603732,2.513155805819642,0.5648669291575011,0.7187198247217512,0.49428571428571433,0.4404325480229857,0.7269944610392928,0.7106999992945557
Fish,0.897399014778325,0.6297855479439688,1.3968200252714162,0.7457587283877886,0.7598952787671248,0.74,0.6978441430508657,0.7196684237085125,0.8058214599861252
FordA,0.5170752636294713,0.03414337227412498,0.019272908200304077,0.02759555672746844,0.028133594476599,0.5929545454545455,0.524099159170418,0.027825253013923412,0.02844923499506511
FordB,0.5561662775259808,0.11241826579492264,0.0642430572513654,0.09428609334750729,0.09512066374093082,0.6625925925925926,0.5744125191869892,0.09268966228898928,0.09771117095412177
FreezerRegularTrain,0.6362946925052189,0.2726228729918522,0.14524414252946105,0.20971413137211656,0.2099343844307325,0.7481754385964912,0.6563202652073317,0.2095430041454235,0.21069222560428322
FreezerSmallTrain,0.6181725813304759,0.23639604612708615,0.13524753309134835,0.20047398859797796,0.20069592667127423,0.726421052631579,0.6506454654217444,0.1951209452833545,0.2090546353863841
GunPoint,0.5858076062639821,0.17189681479845287,0.12466606799137137,0.182534157102451,0.18659922645662813,0.6373333333333333,0.5950376182309762,0.17987818624111948,0.19504187469362827
